Title,Content,Date
Hartalega buys RM158m land to expand glove manufacturing ...,"KUALA LUMPUR (Aug 10): Hartalega Holdings Bhd is buying a 60.57-acre piece 
of land in Labu, Sepang, Selangor for RM158.3 million to build additional 
glove ...",10-Aug-20
Tropicana's purchase of Top Glove shares raises eyebrows,"47 million worth of Top Glove Corp Bhd's shares on the open market 
yesterday. Lim, who holds an 11.07% stake in Tropicana, is also the 
chairman and founder of ...",4-Dec-20
MACC raids premises of glove maker WRP as part of probe on ...,"KUALA LUMPUR (June 9): Glove maker WRP Asia Pacific Sdn Bhd today confirmed 
that it has received a visit from the Malaysian Anti-Corruption 
Commission ...",9-Jun-20
MQ Tech in the spotlight on bid for glove maker Latexx,"KUALA LUMPUR (June 22): MQ Technology Bhd (MQ Tech) hogged the limelight 
this morning, becoming the new proxy for the rubber glove stock rally.",22-Jun-20
"Hartalega, Top Glove provide bounce to KLCI","KUALA LUMPUR: Hartalega and Top Glove helped shore up the FBM KLCI in early 
Monday trade while key Asian markets were trading cautiously and oil 
prices ...",7-Sep-20
Glove makers' shares up on spread of China SARS-like virus,"KUALA LUMPUR: Bursa Malaysia-listed glove makers' shares jumped yesterday 
as fears mount over a newly identified Severe Acute Respiratory Syndrome ...",22-Jan-20
Glove stocks' lofty valuations falling back to earth,"Several rubber glove companies have become more valuable than banks, not 
only just in terms of market capitalisation but also stock valuation. At 
one point, ...",28-Sep-20
More upside for rubber glove sector,"KUALA LUMPUR: There remain positive catalysts for the rubber glove sector 
even as sustained demand for rubber gloves continues to exceed 
expectations, ...",29-Apr-20
Fintec Global laying groundwork for glove manufacturing,"PETALING JAYA: Fintec Glove Sdn Bhd, a wholly owned subsidiary of Fintec 
Global Bhd, has commissioned AE Multi Industries Sdn Bhd and its partner 
Ripcol ...",2-Dec-20
Salcon buys 51% stake in glove maker for RM29mil,"PETALING JAYA: Salcon Bhd is acquiring 51% equity in glove manufacturing 
company JR Engineering and Medical Technologies (M) Sdn Bhd for RM28.56mil.",13-Nov-20
"Macquarie downgrades Top Glove to 'underperform', halves ...","KUALA LUMPUR (Sept 10): Macquarie Research has downgraded its 
recommendation on Top Glove Corp Bhd to underperform from outperform 
previously, ...",10-Sep-20
Is it time to part with rubber glove shares that are at record ...,"At 4.08pm, Top Glove Corp Bhd was up 22 sen or 3.4% to RM6.72, giving a 
market capitalisation of RM17.2 billion, while Supermax Corp Bhd rose 15 
sen or 3% ...",22-Apr-20
MQTech in JV with HK company to acquire rubber glove factory,"JD chairman Datuk Muzamir Mustafa said the company has flown more than 350 
metric tonnes of rubber gloves, which it sources from local manufacturers 
to Europe ...",15-Jul-20
Hong Seng buys 42ha land in Kedah Rubber City for RM46mil,"He said there were many gloves players emerging in the market but not all 
of them had ... ""Ideally, this will enable us to be an integrated glove and 
NBL ...",28-Dec-20
Cleanroon glove maker CE Technology announces RM50m ...,"KUALA LUMPUR (Aug 11): Taiping-based cleanroom glove manufacturer CE 
Technology Bhd is embarking on a capacity expansion at a cost of RM50 
million.",11-Aug-20
"MSCM, the latest firm to jump on nitrile glove producing ...","MSCM's subsidiary Hong Seng Gloves Sdn Bhd, which was set up recently, 
signed an agreement with glove supplier Howellcare Industries Sdn Bhd 
today, appointing ...",25-Aug-20
Glove makers see worst year-to-date selldown while banks rally,"Notwithstanding gains in banking and Genting stocks, the benchmark index 
slipped on losses in Top Glove Corp Bhd and Hartalega Holdings Bhd to 
settle at ...",16-Aug-20
Top Glove plunges from its perch,"It also revised its target price for Top Glove to RM5.40 from RM10.13 
(adjusted for bonus issue) ahead of the group's result for the financial 
year ended ...",11-Sep-20
EMERGING MARKETS-South Korea shares jump on recovery ...,"Graphic: World FX rates tmsnrt.rs/2egbfVh * Malaysian glove makers drag 
shares lower * Light volumes as Japan, Singapore closed * China data boosts 
hopes of ...",10-Aug-20
"Walmart will screen the temperatures of its 1.5 million US employees and 
provide them with masks and gloves","The company has been ""constantly analyzing"" the effectiveness of wearing 
masks and gloves, Dan Bartlett, executive vice president of corporate 
affairs for ...",31-Mar-20
Photos show what pop-up coronavirus clinics look like around the world,"Meanwhile in places like Israel and India, health officials are using 
mobile booths that have rubber gloves attached to them in an effort to 
prevent human ...",21-Apr-20
COVID-19: how to work safely in domiciliary care in England,"Updated guidance on the use of gloves. 7 October 2020. Added notification 
that the use of gloves is being reviewed and will be updated shortly.",27-Apr-20
Kat Von D donates gloves and aprons to hospital during pandemic,"On Thursday, the celebrity tattoo artist said on Instagram that her shop, 
High Voltage Tattoo, has donated its entire supply of medical-grade gloves 
and aprons ...",26-Mar-20
Billionaire Steve Cohen ends talks to buy New York Mets: CNBC's Faber,"FILE PHOTO - Jul 13, 2019; Miami, FL, USA; A general view of a New York 
Mets hat and glove on the steps of the dugout in the game between the Miami 
Marlins ...",4-Feb-20
Germany bans export of medical protection gear due to coronavirus,"BERLIN, March 4 (Reuters) - Germany has banned the export of medical 
protection gear to avoid supply shortages of masks, gloves and suits as 
doctors and ...",4-Mar-20
"EMERGING MARKETS-Rupee jumps as central bank steps back, Asian stocks rally","Malaysian shares bucked the trend, dragged down by losses for its medical 
glove makers as progress on coronavirus vaccines and treatments dented the 
appeal ...",24-Aug-20
Swedish DIY retailer Clas Ohlson to hit margin target amid pandemic,"FILE PHOTO: A box of single-use gloves from Swedish DIY and homewares 
retailer Clas Ohlson is seen in this illustration picture taken April 15, 
2020.",14-May-20
"Masked Israeli monitors count coronavirus votes, carefully","Taking care to avoid paper-cuts, the monitors - some in protective suits, 
others making do with masks and gloves - sorted through piles of ballots in 
a ...",4-Mar-20
WORX Gloves And Shop Safety Supplies For 2020,"WORX stocks coated gloves, leather and mechanic's gloves, safety glasses 
and vests, ear plugs, hand scrubs and more. Advertisement.",12-Mar-20
"Amazon set to expand in Oklahoma City with 1 million square foot facility, 
estimated to employ 1,000","... told The Oklahoman Monday they could not comment on what is dubbed 
“Project Glove” under terms of signed non-disclosure agreements.",21-Jul-20
Coronavirus Safety: Why the Pandemic Baffles America,"Photo of gloves hanging on a laundry line. Nanna Heitmann / Magnum. Health. 
The Difference Between Feeling Safe and Being Safe. The pandemic has 
broken ...",26-Oct-20
"??? ???????: ????? ????-???????? Glove.me ???????? ?????? ?????? ??????? 
?????????????","???????? ? ???????? «All colours are beautiful» ?????? ????????? ???????? ? 
????????, ???????? ????? ??? ?? ???????. Glove.me (??? ? ???? ????????) 
????????? ...",21-Mar-20
"Covid: Why bats are not to blame, say scientists","Donning mask, overalls, and three layers of gloves, he descends into the 
darkness, climbing down rope ladders and squeezing through the narrow 
chambers of ...",13-Oct-20
Tokyo launches coronavirus drive-through tests as crisis deepens,"The tester enters a phone booth-like structure and uses arm-length plastic 
gloves protruding through two holes at the front of the box to collect 
samples ...",23-Apr-20
"Coronavirus: Commercial Drivers Use Gloves, Nose Masks In Ho","Commercial drivers under the Ghana Private Road Transport Union (GPRTU) in 
Ho are considering the usage of nose masks and gloves to prevent the spread 
of ...",17-Mar-20
TikTok star says she had her face mask pierced to her ear,"Malls and stores in her state of Virginia were open, and she wore two cloth 
masks and gloves, anticipating how close the piercer would be standing to 
her.",30-Jun-20
"Orioles Great Jim Palmer On No-Hitter, Memories From Minor ...","During his no-hitter in 1969, Palmer didn't have Gold Glove winners Mark 
... eight Gold Gloves, Davey Johnson with three Gold Gloves sitting on the 
bench.",13-Aug-20
"'Shocking' abuse of migrants forced to pick strawberries in Spain, U.N. says","... it to investigate the conditions for Moroccan migrants on Spanish farms 
working without gloves, masks or social distancing protections against 
COVID-19.",1-Jul-20
Coronavirus: harmonised standards for medical devices to ...,"... medical protective equipment like face masks and single-use gloves 
freely available to those companies that are willing to start producing 
these items.",25-Mar-20
Special Report: Plastic pandemic - COVID-19 trashed the recycling dream,"(Reuters) - The coronavirus pandemic has sparked a rush for plastic. From 
Wuhan to New York, demand for face shields, gloves, takeaway food 
containers and ...",5-Oct-20
Safely inviting in repairmen during the pandemic,"And gloves are not antimicrobial surfaces, so coughing into a glove is like 
coughing into your hand.” If someone in your home is at risk, or 
immuno-compromised, ...",2-Jun-20
"Bolivian sex workers bet on see-through 'biosecurity' raincoats to reduce 
contagion risk","... coronavirus with new equipment, including bottles of bleach, gloves and 
see-through raincoats, all of which they say will help them resume work 
safely.",13-Jul-20
"A former nurse's video on cross contamination shows how easily germs can 
spread, even with gloves","Using paint, gloves, and other props, Molly Lixey went on ""a quick little 
Molly rant about cross contamination"" to show how small, quick points of 
contact can ...",5-Apr-20
Guest column: Life before corona and after,"The novel coronavirus has drastically changed our lives – the mask has 
become ubiquitous, files are handled only while wearing gloves, and pockets 
and ...",22-Aug-20
"Panic buying of toilet paper hits U.S. stores again with new pandemic 
restrictions","... new rules include temporary bans on indoor dining - out-of-stocks 
included toilet paper, paper towels, cleaning wipes, gloves and Spam canned 
meat.",20-Nov-20
The Chat Podcast - Episode 29,"This week Sue & Pat chat about physical distancing, wearing face masks & 
gloves, tips for working from home – is this the new normal.",22-May-20
2020 Volvo XC40 Review,"There is a small garbage container built into the center console and even a 
flip-out hook from the glove box to hold a bag. I'm not a fan of the 
cupholder ...",20-Aug-20
Governor Lamont Provides Update on Connecticut's ...,"CSCU System Totals: Gloves: 184,400; Masks: 11,345; Gowns: 1,885; 
Ventilators: 9. Providing information to Connecticut residents. For the 
most up-to-date ...",1-Apr-20
Why Physical Distancing Matters,"Use gloves while shopping or pumping gas—then dispose of the gloves when 
you're done. Avoid touching your face, nose, mouth, or eyes.",20-Mar-20
"Shaadi in corona times: Make way for barati masks and PPE suits in bridal 
trousseau","“I opted for heat resistant gloves to solemnise a Hindu wedding. Because 
often the younger ones touch our feet, and inadvertently I end up placing 
my hand ...",10-Jun-20
Scarlet Witch’s Wandavision costume has a history in Marvel comics,"Elizabeth Olsen descends a staircase as Scarlet Witch in her classic 
costume, complete with gloves Image: Marvel Studios. The costume is a dead 
ringer for the ...",2-Feb-20
"Coronavirus exposure risk on airplanes very low, U.S. defense study finds","FILE PHOTO: A flight attendant wearing a face mask and gloves following the 
coronavirus disease (COVID-19) outbreak walks past passengers inside a 
Sichuan ...",15-Oct-20
Europe is epicenter of coronavirus pandemic: WHO,"This would to allow people and organizations to contribute to help fund 
masks, gloves, gowns and goggles for heath workers, as well as diagnostic 
kits and ...",13-Mar-20
Face Coverings for Putnam County Seniors “Drive-by ...,"... in are to remain in their cars and the face coverings will be handed to 
them on a tray by OSR staff and volunteers wearing face coverings and 
gloves.",1-Jun-20
"Detecting slave-made goods from China is growing harder, U.S. says","... (CBP) said it had detained the import of 32 cartons of women's leather 
gloves from Xinjiang on the suspicion they were made with forced labor.",19-Oct-20
"Coronavirus In Allegheny County: Doctor’s Office Warns Patients To Stop 
Stealing Hand Sanitizer, Gloves, Masks, Kleenex, Paper Towels And Toilet 
Paper","Coronavirus In Allegheny County: Doctor's Office Warns Patients To Stop 
Stealing Hand Sanitizer, Gloves, Masks, Kleenex, Paper Towels And Toilet 
Paper.",16-Mar-20
Pregnant women agonize over whether to get coronavirus vaccine,"For the first eight months of her pregnancy, Yadira Rivas, a nurse 
coordinator at Neighborhood Health of Virginia, relied on masks and gloves 
to protect her ...",1-Jan-21
COVID-19: Stop the spread,"take the gloves and mask off right after you provide care and throw them in 
a waste basket lined with a plastic bag · clean your hands again with soap 
and water ...",10-Apr-20
Clinton Young: The lethal price of an unfair trial – The Justice ...,"In his fourth writ of habeas corpus attacking the scheduled execution, 
Clinton introduced new evidence: a pair of gloves found at the second crime 
scene ...",6-Nov-20
Portugal suspends foreign trash imports to cope with own increased waste,"... ranging from medical workers' protective gear such as aprons and gloves 
to takeaway boxes, as people under lockdown order food to their homes.",16-May-20
"Zendaya wore a dress with daring cutouts, giant pockets, and a split sleeve 
on the red carpet","Zendaya wore a dress with daring cutouts, giant pockets, and a split sleeve 
on the red carpet · Margot Robbie wore a feathered top and long pink 
gloves, which ...",31-Jan-20
The Rod Blagojevich story: From Chicago to prison and back,"The future Illinois governor was shaky with the books and on the sports 
field as well, including running up a completely average record as a Golden 
Gloves ...",19-Feb-20
Pre-fall 2020: 6 biggest fashion trends from the pre-fall shows,"Wear them with attitudinal gloves and enormous sunglasses to channel the 
so-bad-it's-good taste of a modern day Veruschka. Read more: The 10 
Definitive Shoe ...",16-Jan-20
Coronavirus: Pharmacies rationing hand sanitizer as shortages hit,"... disinfectant sprays were also almost entirely sold out (although the 
reporter did observe one customer buying large boxes of disposable gloves).",10-Mar-20
"In the SOOP BTS ver: Jimin & Jungkook's night adventures include a broken 
mosquito net & ChimChim getting hurt","Jungkook quickly runs to his room in the floating house and locks it just 
to put on his boxing gloves. A mischievous Jimin quickly follows to tag 
his ...",7-Oct-20
What's in a COVID-19 test specimen collection booth? DOST ...,"... should be two Monobloc chairs, semi-disposable untexturized nitrile 
gloves, disposable clear plastic gloves, and plastic bags for disposing 
used gloves.",2-May-20
What Causes Brittle Nails and How to Care for Them,"For example, low calcium levels (hypocalcemia) can cause scaly skin, dry 
hair, and brittle nails along with muscle cramps. Care Tip: Wear Gloves. An 
easy way to ...",23-May-20
What are the early symptoms of coronavirus (COVID-19)?,"wearing disposable gloves when washing the care receiver's dirty laundry; 
cleaning and disinfecting surfaces daily; using a separate bedroom and 
bathroom from ...",6-May-20
"Ultra-wealthy Super Bowl VIP experience: Private jets, celeb parties","The host committee provided a ""white-glove concierge"" service to escort the 
most important guests and offered an exclusive telephone line to local 
hospitals ...",31-Jan-20
FBI: Fraud schemes on the rise amid virus outbreak,"Gloves; Other forms of personal protective equipment. They recommended 
visiting the following agencies' websites for more information about 
counterfeit products ...",23-Mar-20
A poem by Ann Barber: 'The Night of Corona',"The face masks were missing, the gloves and the gowns. The nurses and 
doctors were all falling down. The children and old folks were scratching 
their heads.",27-Apr-20
U.N. agencies scramble to help Beirut warehouse blast victims,"Ten containers of PPE, including hundreds of thousands of gowns, gloves and 
masks just procured by the health ministry for its COVID-19 response, ...",7-Aug-20
Mid-State funnels resources to support local coronavirus relief,"Additional donations of protective aprons and vinyl gloves from the 
college's cosmetology program rounded out the supply-based donations. The 
college also owns ...",27-Mar-20
"'Take home' lawsuits over COVID infections could be costly for U.S. 
employers","Company owner Tim Byrne said his five employees wore masks routinely before 
the pandemic to protect against dust and regularly used gloves.",28-Sep-20
"Thanksgiving looked different at the firehouse, too. Anne Arundel 
firefighters reflect on pandemic front lines.","Anytime the firefighters hear “P-U-I” they gear up when they get to the 
scene. Medics and paramedics wear N-95 masks, glasses, gloves and gowns. As 
Lt. Shawn ...",27-Nov-20
Abaca Leaf Fiber Face Masks Are Biodegradable and Medical ...,"... to a recent report, the pandemic has people using an estimated 129 
billion face masks and 65 billion plastic gloves every month, all around 
the world.",7-Aug-20
23 iconic looks celebrities wore on the Golden Globes red carpet,"She also wore white gloves and a pearl necklace, which perfectly 
complimented the award she won that night. In 1970, Elke Sommer wore what 
was likely one of the ...",3-Jan-20
"‘Leave one, take one’: In Slatington, warm clothes hang on clothelines for 
those in need to take","At each end of Main Street in Slatington, not far from the borough's 
official welcome signs, are some handmade signs, surrounded by scarves, 
hats and gloves ...",14-Dec-20
"Domestic flight rules: From web check in to Aarogya Setu, what you should 
know","Passenger to dispose of all the biohazardous material like used masks, 
gloves, tissues etc. in the yellow-coloured disposable bins/bags placed at 
strategic ...",21-May-20
All in a day's work – Vet Times,"Armed with mask and gloves, I walked to the local shop once a week, and 
returned home looking like a tortoise with a backpack front and back with 
bags in ...",6-Jul-20
Guidance on self-isolation at home - NPHO,"Disposable gloves must always be used. A hand hygiene routine must follow. 
Caregivers must avoid touching potentially contaminated items of the 
patient, ...",13-Mar-20
"24-hour stomach bug: Symptoms, causes, and treatment","A person should wear rubber gloves to remove soiled laundry items and wash 
them with detergent and hot water in the washing machine for the maximum 
cycle ...",13-May-20
2021 Honda ADV150 Review – First Ride,"In Gear. 2021 Honda ADV150 Review Helmet: KLIM Krios $500. Jacket: REV'IT! 
Offtrack $400. Jeans: Pando Moto $335. Gloves: REV'IT! Sand 3 $120",5-Aug-20
ASIA TIMES,"Facing the coronavirus pandemic, masks, gloves, visors, medical gowns, hand 
sanitizer bottles, screens in shops and supermarkets are multiplying, ...",2 weeks ago
"A Tip of the Hat to the Return of Crash Davis, Willie Mays Hayes, Roy 
Hobbs, Sidd Finch and Friends","Athletics' Closer Liam Hendriks Wins AL Reliever of the Year Award · By 
John Hickey. Oct 24, 2020. Ramón Laureano, Matt Olson named Gold Glove 
finalists.",1-Apr-20
"Special Report: Peruvian coca farmers to Paris pushers, coronavirus upends 
global narcotics trade","... to react to the new reality, the report said, with some maintaining a 
safe distance from clients and even “selling hand sanitizer, gloves and 
masks.”.",22-Apr-20
How food delivery services are reacting to the novel coronavirus,"DoorDash CEO Tony Xu told Business Insider on March 13 that it's 
""stockpiled tens of thousands of gloves and bottles of hand sanitizer"" and 
is offering them ...",17-Apr-20
How to Clean and Season Cast-Iron Cookware,"Rubber gloves: To protect your hands from cleansers and rust. Stainless 
steel scrubber: Scotch-Brite scrubbers, for example. Cleanser: We like Bar 
Keepers ...",8-Oct-20
Wisconsin Universities Begin Reporting Cases Of COVID-19,"A man in a face mask, face shield, gown, and gloves handles a. A COVID-19 
test technician handles a test Wednesday, Aug. 19, 2020, at a 
pedestrian-friendly ...",26-Aug-20
"New Honda Grazia scooter launched in India: Check out price, specs, 
features, etc.","The scooter also gets a bigger front glove box, which comes in handy for 
storing knick-knacks. If you are interested in buying the Grazia, then you 
can have ...",24-Jun-20
"Harrah’s Cherokee has reopened, and the casino is dedicated to safety and 
sanitizer - here’s what to expect","... so I accessorized my trusty “Star Wars” mask — I'm saving the one 
provided by the casino for another trip — with black latex gloves.",10-Jun-20
African black soap: 15 benefits,"They advise that some individuals might benefit from applying emollient to 
their hands overnight while wearing cotton gloves. When washing the dishes, 
using ...",16-Mar-20
How To Tie Dye With Things You Already Have In The House,"First and foremost, you're going to need gloves, whether it's plastic 
gloves or your classic marigolds. Everything else is subject to what you 
can get your ...",12-Apr-20
Nigella Lawson has 60th birthday lunch with daughter Cosima,"The TV personality teamed her ensemble with loose-fitting black trousers, 
while accessorising with a chic tan shoulder bag and a pair of leather 
gloves.",6-Jan-20
Airlines debut PPE-integrated uniforms from designers,"... and Thai Airways are also introducing personal protective equipment 
elements to existing uniforms and mandating customers wear masks and/or 
gloves.",30-Apr-20
5 factory workers describe their work making face shields and masks,"They described long shifts, strange hours, and new efforts from their 
employers to keep workspaces clean and provide masks and gloves.",26-Apr-20
How Tom Girardi and Erika Jayne went from RHOBH to divorce,"Hours later, Jayne posted a picture in silver stilettos, elbow-length mesh 
gloves and lilac lingerie. She captioned the image, “Put me on your wish 
list.”.",17-Dec-20
"Social work from a social distance: Coronavirus forces U.S. child advocates 
to adapt","New Jersey has created a pool of case workers who volunteer to enter 
infected homes wearing masks, gloves and goggles. It has also started 
letting many ...",21-Mar-20
Calls for Dominic Cummings to resign after lockdown breach put lives at risk,"Politics · Business · Science · Tech · Culture & Lifestyle · Music · Film & 
TV · Food · Sport · Oddities. Rubber gloves. Luisella Planeta Leoni.",23-May-20
"Photos of stores in Wuhan show what life is like under the coronavirus 
lockdown","Pharmacy workers serve shoppers in full-body protective suits, face masks, 
and surgical gloves. Wuhan pharmacy workers. A pharmacy in Wuhan on January 
25.",31-Jan-20
Total Recall's Bulging Eyes Scene Is Scientifically Accurate,"... often require heat resistant gloves to handle. He's super modern too, 
so his favorite movies include Jaws, Die Hard, The Thing, Ghostbusters and 
Batman.",15-Jan-20
