Title,Title_URL,Image,wewyrc_URL,wewyrc,Time,u26fgb,u26fgb1,u26fgb2
Majestic Steel USA Acquires Merit Steel USA,https://news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvbWFqZXN0aWMtc3RlZWwtdXNhLWFjcXVpcmVzLW1lcml0LXN0ZWVsLXVzYS0zMDEzNTc0MDYuaHRtbNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/HzsY_4onvXvaR8icSzv9PKrkcIysXs00qORwpPHfbUQcZB4yRVIzlV9Y76iagKczNZH4T492aH0nSsaVHppp_oAqH57mtJsb1KsgK7nPALRAhptAa3eLo5u3lhk6ggiee0XMjiQecBO4=s0-w100-h100-p-rw-df,,PRNewswire,Yesterday,bookmark_border,share,more_vert
"Pharma, steel exporters to take up RoDTEP exclusion with Piyush Goyal",https://news.google.com/articles/CBMilgFodHRwczovL2Vjb25vbWljdGltZXMuaW5kaWF0aW1lcy5jb20vbmV3cy9lY29ub215L2ZvcmVpZ24tdHJhZGUvcGhhcm1hLXN0ZWVsLWV4cG9ydGVycy10by10YWtlLXVwLXJvZHRlcC1leGNsdXNpb24td2l0aC1nb3lhbC9hcnRpY2xlc2hvdy84NTQzODg2NS5jbXPSAZEBaHR0cHM6Ly9tLmVjb25vbWljdGltZXMuY29tL25ld3MvZWNvbm9teS9mb3JlaWduLXRyYWRlL3BoYXJtYS1zdGVlbC1leHBvcnRlcnMtdG8tdGFrZS11cC1yb2R0ZXAtZXhjbHVzaW9uLXdpdGgtZ295YWwvYW1wX2FydGljbGVzaG93Lzg1NDM4ODY1LmNtcw?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/p5qsb8yYUVFwdwRAPxHeW9alPxXMs27TbOSYmbHW9D8F8tb9wS0as5dcKjs6uxn6iPIVqkw8T4t-06615NEjB2pC8h7tgFRdncTy2mywwBCrtj-2b6UobOJU2FgcaiHcuAe15r9EUzGYQEt6LA_UIlK0fr3LX3dQuavygXxoXNqU4OficEJ-0ZzZJPEiOpbteA=s0-w100-h100-p-rw-df,,Economic Times,12 hours ago,bookmark_border,share,more_vert
Tata Steel interested in acquiring Vizag-based RINL: CEO TV Narendran,https://news.google.com/articles/CBMimQFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy90YXRhLXN0ZWVsLWludGVyZXN0ZWQtaW4tYWNxdWlyaW5nLXZpemFnLWJhc2VkLXJpbmwtY2VvLXR2LW5hcmVuZHJhbi9hcnRpY2xlc2hvdy84NTM5NTc2NS5jbXPSAZQBaHR0cHM6Ly9tLnRpbWVzb2ZpbmRpYS5jb20vYnVzaW5lc3MvaW5kaWEtYnVzaW5lc3MvdGF0YS1zdGVlbC1pbnRlcmVzdGVkLWluLWFjcXVpcmluZy12aXphZy1iYXNlZC1yaW5sLWNlby10di1uYXJlbmRyYW4vYW1wX2FydGljbGVzaG93Lzg1Mzk1NzY1LmNtcw?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/QUZ9DLo2ONatDcLSPYdyPXVVx35p8reKrI78JM8HdemcX7CpJ8T_1hdrEqlWHI31u8rXc1nUDIcGXGffcQ1pj-BEIiK4-B-yxSM0-lklZYlW9Ku3ygZpu15CpO6uJeqfzirXLLIoyW5qUUrDW1pAng=s0-w100-h100-p-rw-df,,Times of India,2 days ago,bookmark_border,share,more_vert
ASIA STEEL SCRAP DIGEST: Japan sentiment weakens after drop in Kanto tender,https://news.google.com/articles/CBMikQFodHRwczovL3d3dy5tZXRhbGJ1bGxldGluLmNvbS9BcnRpY2xlLzQwMDM4MTkvU2NyYXAtYW5kLXNlY29uZGFyeS9BU0lBLVNURUVMLVNDUkFQLURJR0VTVC1KYXBhbi1zZW50aW1lbnQtd2Vha2Vucy1hZnRlci1kcm9wLWluLUthbnRvLXRlbmRlci5odG1s0gEA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Metalbulletin.com,2 hours ago,bookmark_border,share,more_vert
"Groundbreaking: ‘We’re small but we’re scrappy, welcome to the Steel District’",https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LmtlbG9sYW5kLmNvbS9uZXdzL3lvdXItbW9uZXktbWF0dGVycy9ncm91bmRicmVha2luZy13ZXJlLXNtYWxsLWJ1dC13ZXJlLXNjcmFwcHktd2VsY29tZS10by10aGUtc3RlZWwtZGlzdHJpY3Qv0gF-aHR0cHM6Ly93d3cua2Vsb2xhbmQuY29tL25ld3MveW91ci1tb25leS1tYXR0ZXJzL2dyb3VuZGJyZWFraW5nLXdlcmUtc21hbGwtYnV0LXdlcmUtc2NyYXBweS13ZWxjb21lLXRvLXRoZS1zdGVlbC1kaXN0cmljdC9hbXAv?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/RSkMI8ouxxGKiFMXaciA0rABz3MdGJXUvr3z1Usf-vC4-sUrgrDxgVe58MRtgkuYOiX8khOtkcs3dgtJt3zDjaPXMBwEdcocMGH-KTunRNxaVoQ79uK007TLYvlwnLbUz5FLM7u8wofuleiM4xXK1Q31UxbH4ldxZ1OpLXhq4KM=s0-w100-h100-p-rw-df,,KELOLAND.com,11 hours ago,bookmark_border,share,more_vert
Iranian steel billet export prices slide in wake of decline in rebar futures,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3Lm1ldGFsYnVsbGV0aW4uY29tL0FydGljbGUvNDAwMzgyMS9JcmFuaWFuLXN0ZWVsLWJpbGxldC1leHBvcnQtcHJpY2VzLXNsaWRlLWluLXdha2Utb2YtZGVjbGluZS1pbi1yZWJhci1mdXR1cmVzLmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Metalbulletin.com,2 hours ago,bookmark_border,share,more_vert
Steel rebar prices rise once again,https://news.google.com/articles/CBMiSWh0dHBzOi8vdHJpYnVuZS5jb20ucGsvc3RvcnkvMjMxNjIzNC9zdGVlbC1yZWJhci1wcmljZXMtcmlzZS1vbmNlLWFnYWluLTHSAU9odHRwczovL3RyaWJ1bmUuY29tLnBrL3N0b3J5LzIzMTYyMzQvc3RlZWwtcmViYXItcHJpY2VzLXJpc2Utb25jZS1hZ2Fpbi0xP2FtcD0x?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/KhHCnwRPSB7wDac6HqQMThxzq9NCD_r4AKvc_Xx-bP7Org1q8wY5q_m9uftGEy7DZVTituRmcu7ba1nYddPpVJvKori4iVe92lCbBPFxQXZKLpTd1mko5-Pn7r7yKL4z=s0-w100-h100-p-rw-df,,The Express Tribune,10 hours ago,bookmark_border,share,more_vert
Australia's BlueScope Steel seeks alternatives to coal,https://news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmFyZ3VzbWVkaWEuY29tL2VuL25ld3MvMjI0NTM0MS1hdXN0cmFsaWFzLWJsdWVzY29wZS1zdGVlbC1zZWVrcy1hbHRlcm5hdGl2ZXMtdG8tY29hbNIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Argus Media,Yesterday,bookmark_border,share,more_vert
"POSCO to finalize steel price deal with Hyundai, Samsung",https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9wb3Njby10by1maW5hbGl6ZS1zdGVlbC1wcmljZS1kZWFsLXdpdGgtaHl1bmRhaS1zYW1zdW5nL9IBYWh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9wb3Njby10by1maW5hbGl6ZS1zdGVlbC1wcmljZS1kZWFsLXdpdGgtaHl1bmRhaS1zYW1zdW5nL2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/ZYRsUSvFtpYfqV4G4T-jyZz53ioBXo6c5SHyRLeF_MAZvMKVGFDT7b8QjEKyCCuga3qz87acC4nOMlYERirk_0nSEeWZTfuxigLZfrQMpZq4-FfI6MJu1ocPFO594YRcMo-5La5qZTbAAocf-q3--XqT8pa6vwIEq5aQc92JuQ8=s0-w100-h100-p-rw-df,,Hellenic Shipping News Worldwide,9 hours ago,bookmark_border,share,more_vert
China wants to curb steel production. Some say it's 'virtually impossible',https://news.google.com/articles/CAIiEE_UV7VUYpp2Wr8r_3AoHs8qGQgEKhAIACoHCAow2Nb3CjDivdcCMP3ungY?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/Ce5RqBG8yHXhCEvG3rXEFZGSR9cV-VObJxTWUeHtxBW0F1G6ad6ThcMSgAEmnUQr2Jsg0DpYrcGEjcRg6q5BF3-CA-2vOJwHlOc88SWRVOzoym0wvLm24pRmZRHo_EHLlgnzDd7F8k1hI9C__CJsqZoQXTwJIR8nOTLCPgbMJp7qpma0O1V-Cw7aLZ-yF34OWtGgwWOnFNFE=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMNjW9wow4r3XAg?hl=en-MY&gl=MY&ceid=MY%3Aen,CNBC,17 days ago,bookmark_border,share,more_vert
Customs seizes RM10mil worth of smuggled steel in Klang,https://news.google.com/articles/CAIiEEkAGqQT8e8pTm_F_2cL6-UqGQgEKhAIACoHCAow-N7eCjC60NYBMLfbhwM?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/j8Ec-jp64Eu4KiZjSJRGKr_CeNSp4i1-FDn_6nrlnZ634vY2KGQONGJTnRsFVzf3TdpsJuxuPqYwLRkV_es=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMPje3gowutDWAQ?hl=en-MY&gl=MY&ceid=MY%3Aen,The Star Online,14 days ago,bookmark_border,share,more_vert
Steel Dynamics Stock Jumps 16% In A Week – Here’s Why,https://news.google.com/articles/CAIiEF1eVbjgm0LYVe9wp3z3ZjMqFQgEKg0IACoGCAowrqkBMKBFMLKAAg?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/_HlaB_UZVDFEEc5gGSQu_rqX7WqTjXx75QMWISIPak9ab2rxzJhy1i5YMiJ3bVsGXhXse3aI0bn8xhVHSwt2BYfM50nSm2m165mQYE1rxNqO08DP5j2NYoNq0ElD9qWXZkzTHk9icI-g8zWWAHlRNb8nDBMWIQcWyFbzbNtOpagc4_1Ppvow9LwcEACxHeTL_ThLXQDOYeR0e-cdTIi53PS9YQbTom7f3FbEFm-VXHd8zY3j5uhctL74MBTuFz_PlJDKyA=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBggKMK6pATCgRQ?hl=en-MY&gl=MY&ceid=MY%3Aen,Forbes,2 days ago,bookmark_border,share,more_vert
China puts growth ahead of climate with surge in coal-powered steel mills,https://news.google.com/articles/CAIiEI1jg5ns-DGBvOgQm42Jk70qGAgEKg8IACoHCAow-4fWBzD4z0gw_fCpBg?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/vCLAGEfmw4vsNVc-1785LRKS97Xc9M6XwiyJnuwy-aPT7mzNDSgsJxvUg5EWwYxU93IWdsyT0dykx2NvLlrm8N11FQ7r_WViIYIzDCx42-CCddP8GFBNAVu4QRmsgKwWrx-ijd_C6ZjJK9Q0DctL6QTOIsg=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMPuH1gcw-M9I?hl=en-MY&gl=MY&ceid=MY%3Aen,Financial Times,6 days ago,bookmark_border,share,more_vert
Iron Ore Tumbles as China's Steel Sector Revamp Curbs Demand,https://news.google.com/articles/CAIiEMCDeh5vtGKV6x30Mtpm3w8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/Zc9rbtYH3HSOqmQMx0vY0j3rINKG57T_vLOn_vBw4H9hHQ_ZHWRC16YYgowwbfNLptvji33PT7Fg2rZfPGMXTD4daeNM4S_V73PixHJvyGmVJErRXTdsDfpBOBLVRvEy72i6kWBPTdTR5s3jmOgpvA=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMOLs8Aowhd27Ag?hl=en-MY&gl=MY&ceid=MY%3Aen,Bloomberg,30-Jul,bookmark_border,share,more_vert
"Iron ore sell-off resumes, but stainless steel shines",https://news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9pcm9uLW9yZS1zZWxsLW9mZi1yZXN1bWVzLWJ1dC1zdGFpbmxlc3Mtc3RlZWwtc2hpbmVzL9IBXmh0dHBzOi8vd3d3LmhlbGxlbmljc2hpcHBpbmduZXdzLmNvbS9pcm9uLW9yZS1zZWxsLW9mZi1yZXN1bWVzLWJ1dC1zdGFpbmxlc3Mtc3RlZWwtc2hpbmVzL2FtcC8?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/z5RcqpX1vc1bW3OUiptwf4t6xlBdDjyvEGkQd_Vlg_glwmgHskeuvOG54i5Mdn4G0SUSsALzNDiZv17mXvTb05QugXfGVFzM6vHy0irqhhosVXOs_T8PUwHkhTiADUhMRkDdnA2KcLzSQPuZwCMwBwCCeqJP78xPjJ5dTxQn=s0-w100-h100-p-rw-df,,Hellenic Shipping News Worldwide,6 days ago,bookmark_border,share,more_vert
Steel Panther are holding open auditions to recruit a new bassist following Lexxi Foxx’s departure,https://news.google.com/articles/CAIiEPaCKep2bh23xStWMTx7IjUqMwgEKioIACIQH_BelhYjzX0pLWaXnsDBHioUCAoiEB_wXpYWI819KS1ml57AwR4w64vKBg?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/x1J_0eznEUOeJ3Ylh_PTgeRM2PMFwi9857zQj5B992CkCHKV2wxadWmaP_8IPMBwnzMyYsxPHAEtP9tISjYx6C3b4XkleJYT_65nBr0SASmfKXGAU8Xw=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAiEB_wXpYWI819KS1ml57AwR4qFAgKIhAf8F6WFiPNfSktZpeewMEe?hl=en-MY&gl=MY&ceid=MY%3Aen,Guitar World,Yesterday,bookmark_border,share,more_vert
"Stocks to Watch: Canara Bank, Tata Steel, HAL, HDFC Bank, Future Retail",https://news.google.com/articles/CAIiEKRK5fdLr9eAhiUdV91mOUMqFggEKg4IACoGCAowxLQ_MNevCDD45Co?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/rcpPEG5RAjFYt4XraDO2Ey3dEz9mC_4uo8ayXDx-Ou6eJmSnZTiX9YWLQYzVIu7RURdmn2IGJxX1C-LX4R3sTkJ4V_SbjzeOwsNbKBfVTdoSQHGrXXAjqcimtqY5itwdVlrOJXn9SpXknxmwiTJUbjfDH-8NR_fsS_oxJuk=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBggKMMS0PzDXrwg?hl=en-MY&gl=MY&ceid=MY%3Aen,Mint,23 hours ago,bookmark_border,share,more_vert
Refractory Materials Market for GCC Steel Industry 2021-2025 | Technavio,https://news.google.com/articles/CBMif2h0dHBzOi8vd3d3LnBybmV3c3dpcmUuY29tL25ld3MtcmVsZWFzZXMvcmVmcmFjdG9yeS1tYXRlcmlhbHMtbWFya2V0LWZvci1nY2Mtc3RlZWwtaW5kdXN0cnktMjAyMS0yMDI1LS10ZWNobmF2aW8tMzAxMzU3ODA5Lmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/EFB86wXjSmoi4NDJdX5wxYPwYNY9dp6Xedkdf66xVHGwHaqKazb2Ejj3gUBm_wDOw9R3CQXnk4-l1BtoFCOJ9QGVZl44fHDeIJLKCw2nRsK5dWwiko3S2W7qUtwHeAgkWFFiaL5gB_PhGMvy8veDBkI-fNp9DKMj2LQ=s0-w100-h100-p-rw-df,,PRNewswire,Yesterday,bookmark_border,share,more_vert
Metalloinvest's sales revenues rise in H1 amid higher iron ore and steel prices,https://news.google.com/articles/CBMijAFodHRwczovL3d3dy5zdGVlbG9yYmlzLmNvbS9zdGVlbC1uZXdzL2xhdGVzdC1uZXdzL21ldGFsbG9pbnZlc3RzLXNhbGVzLXJldmVudWVzLXJpc2UtaW4taDEtYW1pZC1oaWdoZXItaXJvbi1vcmUtYW5kLXN0ZWVsLXByaWNlcy0xMjExOTcxLmh0bdIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,SteelOrbis,5 hours ago,bookmark_border,share,more_vert
West Eagles sweep Steel Bucket Relay titles with a close win in the boys race and a romp in the girls race,https://news.google.com/articles/CBMipAFodHRwczovL3d3dy5hZG4uY29tL3Nwb3J0cy9oaWdoLXNjaG9vbC1zcG9ydHMvMjAyMS8wOC8xOC93ZXN0LWVhZ2xlcy1zd2VlcC1zdGVlbC1idWNrZXQtcmVsYXktdGl0bGVzLXdpdGgtYS1jbG9zZS13aW4taW4tdGhlLWJveXMtcmFjZS1hbmQtYS1yb21wLWluLXRoZS1naXJscy1yYWNlL9IBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/zISKmeGSJggA5CxeBChwnUeAhRksunHbF8jaayYD366a_L9AV3QrCI96_5Cwuq1r_ZABBt6mqTAzH66tObuBvALDmMh1Hc53bOenE08gzrkRPxC0W7GV7d_IPhJUSkZ4jowiBN9QvvSfUkNf8eVMI59UrOwL3ciOZlASqucS_4T-0gUCv_SfwmnsArBCP7pL5sNu8VvXh9Xa-VTIiXWw5gtGKUmH_PnavC9RZLcJ2Q=s0-w100-h100-p-rw-df,,Anchorage Daily News,7 hours ago,bookmark_border,share,more_vert
Pittsburg-based steel company reaches $4 million settlement after violating environmental regulations,https://news.google.com/articles/CBMijQFodHRwczovL3d3dy5lYXN0YmF5dGltZXMuY29tLzIwMjEvMDgvMTgvcGl0dHNidXJnLWJhc2VkLXN0ZWVsLWNvbXBhbnktcmVhY2hlcy00LW1pbGxpb24tc2V0dGxlbWVudC1hZnRlci12aW9sYXRpbmctZW52aXJvbm1lbnRhbC1yZWd1bGF0aW9ucy_SAZEBaHR0cHM6Ly93d3cuZWFzdGJheXRpbWVzLmNvbS8yMDIxLzA4LzE4L3BpdHRzYnVyZy1iYXNlZC1zdGVlbC1jb21wYW55LXJlYWNoZXMtNC1taWxsaW9uLXNldHRsZW1lbnQtYWZ0ZXItdmlvbGF0aW5nLWVudmlyb25tZW50YWwtcmVndWxhdGlvbnMvYW1wLw?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/YH1Wxlkf4urUhPYqA8lF15eTl3uNvCxaht78uxbAoX34SEVzaYph-hTP9i3y5OZi2CsU7NRNoOSzs8tWYGhgyqSNiTZ83V2_A7Ej3sOtv7P4ZtvkhWoLC9PlIriwoiEViBPeUSGhJnoo5lKoSGTn8_hEJ_4EtO4=s0-w100-h100-p-rw-df,,East Bay Times,19 hours ago,bookmark_border,share,more_vert
Japan's FeNi producer hints at stainless steel recovery,https://news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmFyZ3VzbWVkaWEuY29tL2VuL25ld3MvMjI0MjY5NC1qYXBhbnMtZmVuaS1wcm9kdWNlci1oaW50cy1hdC1zdGFpbmxlc3Mtc3RlZWwtcmVjb3ZlcnnSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Argus Media,9 days ago,bookmark_border,share,more_vert
Global investor group begins to step up pressure on steel industry,https://news.google.com/articles/CAIiEKxzh7XjfkWIIcWb3gJgVksqFwgEKg8IACoHCAow-4fWBzD4z0gw4tp6?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/rvzCXkohShlVMZ7BJMmUknSnHMHOtKlMm29Nd5qWFeKmL6fgfZYSRgrgAC_BUgZE5fUj1uizVuA2R6KB3qsPp_8tpmRWh8w_5DchMaCHR_QXwnXMFiuhGLTugq_A1NFM6Ey1QAl4PFTl4XHrYL9L6eyv71k=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMPuH1gcw-M9I?hl=en-MY&gl=MY&ceid=MY%3Aen,Financial Times,15 days ago,bookmark_border,share,more_vert
Price hikes lift Tata Steel but Europe needs a fix,https://news.google.com/articles/CAIiEDKiWGK2QSbs_66gRKGSpzcqFggEKg4IACoGCAowxLQ_MNevCDD45Co?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/iOz1xP9dttvoDQSSFnYSmnYbZzPAvBx5uHGyahSyTmxDatoKOWbsVyOQyHok-wUS2WpmuvfAO6OshVCMu2N8SvYYYiKp8-aWpkck8zKX1dGi6VcNjEMohywRoIDSNaeCVEH-ApWolMZqr15Q75JFDylGQ98CxmD1auy8NVXEEVPRcedE_818Hb_Nud8eQRu2T83BtZ0-R1lb14BrZQmjlZ0BD_C4IH6-JWsN1uwFZw1wiCw=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBggKMMS0PzDXrwg?hl=en-MY&gl=MY&ceid=MY%3Aen,Mint,3 days ago,bookmark_border,share,more_vert
Planes leaving half empty after Taliban set up ring of steel,https://news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LnRoZXRpbWVzLmNvLnVrL2FydGljbGUvcGxhbmVzLWxlYXZpbmctaGFsZi1lbXB0eS1hZnRlci10YWxpYmFuLXNldC11cC1yaW5nLW9mLXN0ZWVsLTZyZHZwMndkYtIBAA?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/JOehx-UUIlwNaABfvtZf1Zb8KRJqbQPKniQxrDwt2SAUOrJEQX3R6Uo9FgosjTstlALtZgeP_nb746C2VfaDC-xxC54Dwx3ZRGidw71hibCfi-HdOZA8I9QC4e59zt-wKhsZjeFI2NqBa0PryfwRiWjdER9A9j0_cXoooz3hYszQszA_4ICR-OCTKyrLxgZlyuJmkeismD4ZpZ__az7jFuiOeKAgkw1wF3IA0-0G-1w0fQ=s0-w100-h100-p-rw-df,,The Times,16 hours ago,bookmark_border,share,more_vert
China Looks to More Export Tariffs to Tame Booming Steel Sector,https://news.google.com/articles/CAIiEKtdYvKKXViUF0LSHPXi2z4qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/pjSPp9RkchSlJAjuJnsHvHcr-Jw8jXNGy0APVamnWtgcxZDlB8GY01yRAy_woJ42WiTe3T9ga_X-U3Ws8RUmdXWe3wmTmpnImvsR1SdoZvp-XUKrZjZs-YMiktyc81jbaCZRHUU=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMOLs8Aowhd27Ag?hl=en-MY&gl=MY&ceid=MY%3Aen,Bloomberg,27-Jul,bookmark_border,share,more_vert
"EU CBAM for Iron, Steel, Cement, Fertilisers, Aluminium, Electricity",https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm5hdGxhd3Jldmlldy5jb20vYXJ0aWNsZS9ldXJvcGVhbi1jb21taXNzaW9uLXByb3Bvc2VzLWNhcmJvbi1ib3JkZXItYWRqdXN0bWVudC1tZWNoYW5pc20tY2JhbS1pcm9uLXN0ZWVs0gF4aHR0cHM6Ly93d3cubmF0bGF3cmV2aWV3LmNvbS9hcnRpY2xlL2V1cm9wZWFuLWNvbW1pc3Npb24tcHJvcG9zZXMtY2FyYm9uLWJvcmRlci1hZGp1c3RtZW50LW1lY2hhbmlzbS1jYmFtLWlyb24tc3RlZWw_YW1w?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/ELCXVKPfZyIeMy-ODQWkwVGX5HIioe8zDqRTo4jgbiJY1djNQwvuouHWgr_nfKo1LDSGe_q82NgzC444YAeKrMOFbCmPYnTMBGrkPEGzzyrgplHcZGoOAZztLq3RJHZkHnMhx2NdG94VKMNqGzk4V1PWT6ovoFOOIqTW1KRvFQXk4A=s0-w100-h100-p-rw-df,,The National Law Review,Yesterday,bookmark_border,share,more_vert
China's Top Steel Body Expects Wider Output Cuts as Demand Slows,https://news.google.com/articles/CAIiEDRgjQ6jU-UMaOkh3YQb4Z8qGQgEKhAIACoHCAow4uzwCjCF3bsCMIrOrwM?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/UG_RQgIUSh-vEXnCMVeHxm34nEY39X9hZ_nQDfErbgwLNXegw9WOoIVx45lg96pzQ7r7vyjCRZFwhWP78MiJGixDh1-7MciVZp2D_5NYtW9OXMz9XOVAw_7LU5Wlqj2p2qUyZ7XtiRE=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMOLs8Aowhd27Ag?hl=en-MY&gl=MY&ceid=MY%3Aen,Bloomberg,18 days ago,bookmark_border,share,more_vert
Steel Stocks Gain on $1 Trillion Infrastructure Plan,https://news.google.com/articles/CAIiELezdnScKz4yKbpJ-KAWXQEqMwgEKioIACIQaI-KISnONJyMPNSt_eLQTCoUCAoiEGiPiiEpzjScjDzUrf3i0Ewwi6TZBg?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/0uty_ULgjF4DRMcLnlb_zZpJQTOUua8598pNMIjlYXlj9pjMoI7yyuUuwX80-E9dQn7amULrN_WSt6ocKGtVJv6fKHVRO3IkWY8Jc_p72XUK2CswMuz1Mc_iuo2wlrCv2cTC2udWZ9qru-nxVU3IUjCMg1Sz2fLBTsP-wk_00rhsRwcwsRnLUOZvYszfn3Onamdss5EJATeAKLTnnNlwqn-qxECwXMGSU5laCV_U27ddHjqGDgeK9x4m-IKHR-v6W98=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAiEGiPiiEpzjScjDzUrf3i0EwqFAgKIhBoj4ohKc40nIw81K394tBM?hl=en-MY&gl=MY&ceid=MY%3Aen,Investopedia,8 days ago,bookmark_border,share,more_vert
US steel wire rod prices hit record high set in 2008,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3Lm1ldGFsYnVsbGV0aW4uY29tL0FydGljbGUvNDAwMzc5NC9VUy1zdGVlbC13aXJlLXJvZC1wcmljZXMtaGl0LXJlY29yZC1oaWdoLXNldC1pbi0yMDA4Lmh0bWzSAQA?hl=en-MY&gl=MY&ceid=MY%3Aen,,,Metalbulletin.com,17 hours ago,bookmark_border,share,more_vert
The Steel Frame,https://news.google.com/articles/CAIiEO2gHzTLmno6vhhHN5OIlykqGQgEKhAIACoHCAow-az7CjDR8PMCMNOt2wU?hl=en-MY&gl=MY&ceid=MY%3Aen,https://lh3.googleusercontent.com/proxy/1FNgSpuTtbu38nbWa9daBktuh3a1VqHy8LkiHXrya6CXlwDwphQyPqLXx-BKHykrF9JB3sY6oTiRded5Vx5rU-4Lz5ygVFP9UZBNaeXkI7OzxpBsdMMH3EkBpXBY5g=s0-w100-h100-p-rw-df,https://news.google.com/publications/CAAqBwgKMPms-wow0fDzAg?hl=en-MY&gl=MY&ceid=MY%3Aen,The Statesman,44 minutes ago,bookmark_border,share,more_vert
